Provider,Server_Type,Region,OS_Type,Hour,Active_Users,Network_Packets_In,Disk_IO_Speed,Memory_Usage_Percent,CPU_Load
GCP,X-Large,AP-South,Ubuntu,7,3661,21966,150.5,51.3,53.7
GCP,X-Large,EU-West,Windows,0,2232,26784,65.8,59.5,51.0
Azure,Micro,EU-West,Windows,8,44,440,169.9,47.1,33.5
AWS,Micro,AP-South,Linux,10,107,749,55.6,42.0,52.3
Azure,Large,EU-West,Linux,21,315,4095,5.3,32.3,15.4
Azure,X-Large,US-East,Ubuntu,15,4335,39015,78.4,57.4,67.2
AWS,Micro,EU-West,Linux,6,159,1908,116.3,48.5,76.0
GCP,Micro,EU-West,Windows,9,53,583,98.3,50.0,35.6
GCP,X-Large,AP-South,Linux,22,2465,29580,173.1,45.2,43.6
Azure,Micro,EU-West,Linux,2,45,495,25.6,28.1,17.5
Azure,Large,EU-West,Windows,17,652,4564,113.0,56.4,57.3
Azure,Micro,US-East,Windows,23,86,516,105.0,58.0,44.7
AWS,Micro,EU-West,Linux,12,40,440,59.9,26.8,25.0
AWS,Large,US-East,Ubuntu,6,1216,8512,165.3,48.3,72.6
Azure,X-Large,AP-South,Ubuntu,3,1310,9170,151.8,29.2,19.4
GCP,Micro,EU-West,Ubuntu,12,115,690,147.9,45.3,54.0
GCP,Large,AP-South,Ubuntu,19,645,5160,175.9,39.4,33.5
AWS,X-Large,US-East,Windows,0,3717,44604,145.9,67.1,75.3
AWS,Large,AP-South,Windows,7,832,4160,50.2,62.9,52.7
GCP,Micro,US-East,Windows,13,64,320,142.6,52.9,47.0
AWS,Large,US-East,Windows,15,1111,9999,65.0,64.0,69.6
GCP,Micro,US-East,Ubuntu,13,21,189,52.2,27.3,21.0
Azure,X-Large,US-East,Ubuntu,11,1656,8280,19.2,37.7,33.0
AWS,X-Large,EU-West,Linux,18,2423,24230,150.1,37.8,44.9
Azure,Large,US-East,Windows,22,1179,5895,143.6,69.0,80.7
AWS,Micro,US-East,Linux,14,12,108,50.7,24.7,4.8
AWS,X-Large,EU-West,Ubuntu,1,2679,34827,151.1,37.6,52.1
Azure,Large,AP-South,Linux,1,436,3924,184.0,30.3,22.1
Azure,X-Large,US-East,Linux,22,4350,43500,26.1,56.2,71.0
AWS,X-Large,AP-South,Linux,21,1347,16164,50.4,34.3,26.8
Azure,Micro,EU-West,Windows,18,124,620,151.3,62.9,66.2
GCP,X-Large,US-East,Windows,21,4175,25050,58.5,73.9,72.3
GCP,X-Large,US-East,Ubuntu,21,1629,21177,126.8,31.1,22.5
Azure,Micro,AP-South,Linux,16,14,98,20.8,21.3,7.0
GCP,X-Large,EU-West,Windows,19,3003,30030,93.2,61.8,56.5
GCP,X-Large,US-East,Ubuntu,9,4943,44487,149.1,63.0,89.8
GCP,Micro,AP-South,Windows,5,117,702,138.9,63.4,69.5
AWS,Micro,US-East,Windows,14,74,814,163.9,58.3,46.0
GCP,X-Large,US-East,Windows,21,4704,37632,176.1,80.0,82.9
GCP,X-Large,US-East,Windows,10,1285,6425,155.8,47.6,42.1
Azure,X-Large,EU-West,Ubuntu,4,1148,9184,136.0,35.4,30.3
GCP,X-Large,EU-West,Ubuntu,0,2107,21070,11.2,38.6,42.6
AWS,Large,US-East,Windows,7,605,6655,109.3,59.3,41.7
AWS,X-Large,US-East,Windows,20,4025,44275,12.4,73.3,74.3
Azure,Micro,EU-West,Linux,11,41,451,162.6,18.3,23.8
AWS,Micro,AP-South,Windows,11,170,1190,67.5,81.9,85.0
AWS,Micro,US-East,Linux,4,25,250,114.7,24.8,4.5
GCP,Micro,AP-South,Windows,6,47,564,59.5,46.7,24.1
GCP,X-Large,EU-West,Ubuntu,3,2523,20184,157.6,40.7,35.7
AWS,X-Large,EU-West,Ubuntu,5,3785,45420,177.9,51.5,69.5
Azure,Large,AP-South,Linux,12,708,4248,82.7,37.1,38.1
Azure,X-Large,EU-West,Ubuntu,19,4725,66150,173.3,55.1,82.0
GCP,Micro,US-East,Ubuntu,14,45,585,57.1,28.3,16.4
AWS,X-Large,AP-South,Ubuntu,2,1480,19240,109.3,33.1,24.0
GCP,Large,AP-South,Ubuntu,22,313,3756,172.5,36.1,28.2
Azure,X-Large,AP-South,Ubuntu,7,3796,53144,68.5,52.3,67.4
AWS,X-Large,US-East,Linux,19,2601,36414,191.0,39.2,43.6
GCP,Micro,US-East,Windows,15,114,570,28.8,62.0,67.0
GCP,Large,EU-West,Windows,12,540,3240,8.6,58.1,44.2
Azure,X-Large,AP-South,Windows,17,3817,38170,181.3,75.0,74.7
GCP,X-Large,EU-West,Ubuntu,9,3010,42140,18.4,45.4,56.0
Azure,Large,AP-South,Ubuntu,18,960,8640,198.4,47.1,53.0
Azure,X-Large,EU-West,Windows,16,4016,52208,190.5,73.5,77.1
AWS,Large,AP-South,Ubuntu,23,648,5832,31.7,40.2,39.1
AWS,Large,US-East,Windows,18,1034,6204,109.8,73.7,70.0
GCP,Micro,EU-West,Linux,22,189,2646,41.1,56.2,79.2
Azure,X-Large,EU-West,Windows,4,2725,21800,88.5,65.0,60.3
Azure,Large,EU-West,Ubuntu,20,1419,18447,17.0,58.3,86.0
AWS,Large,EU-West,Windows,22,510,2550,48.7,54.6,43.9
AWS,Large,AP-South,Windows,8,461,2305,75.8,55.4,34.2
Azure,Micro,US-East,Ubuntu,11,172,1892,90.5,51.2,67.5
AWS,X-Large,EU-West,Linux,20,1405,9835,195.6,30.3,27.8
GCP,Micro,EU-West,Linux,0,180,2520,162.5,57.3,81.0
Azure,Micro,US-East,Ubuntu,0,152,912,148.8,47.0,66.5
AWS,Large,AP-South,Windows,14,541,7033,109.7,54.3,44.0
GCP,Large,AP-South,Windows,1,1324,9268,168.8,74.0,86.7
Azure,Large,EU-West,Ubuntu,21,443,2658,71.2,30.8,31.2
GCP,Large,EU-West,Ubuntu,15,689,8268,143.2,40.8,43.9
GCP,Micro,AP-South,Ubuntu,7,21,294,198.8,21.9,10.7
Azure,Large,US-East,Windows,12,1462,14620,66.4,75.0,95.4
GCP,X-Large,US-East,Linux,20,1560,15600,136.4,32.5,35.5
AWS,Micro,EU-West,Linux,0,51,714,169.6,31.8,24.8
AWS,Large,US-East,Linux,15,877,9647,183.6,43.4,54.2
AWS,X-Large,EU-West,Windows,6,1593,17523,145.0,50.7,44.9
GCP,Large,EU-West,Linux,4,1381,13810,60.3,53.6,82.2
AWS,X-Large,AP-South,Windows,21,4287,34296,68.6,73.3,86.1
GCP,Large,EU-West,Windows,22,333,4329,9.0,49.6,26.2
AWS,Large,US-East,Ubuntu,2,1290,12900,153.4,49.8,73.6
Azure,Micro,US-East,Windows,11,89,712,13.3,57.3,40.0
GCP,Large,EU-West,Ubuntu,15,1230,8610,173.6,53.8,78.7
GCP,X-Large,AP-South,Windows,18,1947,15576,28.1,58.8,42.8
AWS,X-Large,EU-West,Ubuntu,4,4597,32179,38.5,60.6,83.1
Azure,Micro,US-East,Ubuntu,21,82,492,97.9,39.1,41.2
AWS,Large,EU-West,Windows,13,598,5382,148.9,54.5,50.5
AWS,Micro,EU-West,Windows,4,158,948,32.1,70.0,70.0
Azure,Large,US-East,Windows,14,777,7770,90.8,59.6,62.0
Azure,Micro,AP-South,Windows,16,100,700,99.2,56.5,54.3
AWS,Large,US-East,Ubuntu,13,329,3290,46.4,28.7,19.8
Azure,Large,AP-South,Ubuntu,19,1130,15820,27.5,48.8,67.7
AWS,Micro,EU-West,Ubuntu,4,29,377,168.1,28.3,14.0
GCP,Micro,US-East,Windows,11,19,95,103.0,45.1,24.2
AWS,Micro,US-East,Windows,15,34,340,7.8,45.3,36.2
GCP,Micro,AP-South,Linux,15,34,442,161.6,28.5,18.4
AWS,Large,AP-South,Linux,20,452,3616,196.3,32.7,24.7
Azure,Large,US-East,Linux,6,1021,6126,123.2,55.6,59.6
GCP,X-Large,EU-West,Linux,3,2312,18496,103.2,42.0,42.5
Azure,Large,US-East,Ubuntu,0,363,1815,176.3,26.2,28.5
GCP,Micro,EU-West,Linux,4,104,728,190.7,41.5,38.9
GCP,Micro,EU-West,Ubuntu,22,23,322,152.1,25.5,20.5
AWS,Large,EU-West,Windows,9,1032,13416,91.9,66.7,70.4
AWS,X-Large,EU-West,Ubuntu,21,2133,29862,120.5,34.2,32.5
AWS,X-Large,AP-South,Ubuntu,4,3383,30447,141.7,43.8,51.0
AWS,Large,AP-South,Ubuntu,3,1021,10210,42.9,49.6,56.8
Azure,Micro,US-East,Linux,1,134,938,92.2,47.6,56.4
AWS,Micro,AP-South,Linux,19,189,1701,166.8,59.3,81.3
AWS,Large,US-East,Linux,9,1098,13176,132.7,52.5,58.4
GCP,X-Large,US-East,Windows,18,3530,35300,85.2,66.9,64.4
Azure,Large,EU-West,Linux,0,1101,8808,134.4,51.6,63.6
Azure,Large,US-East,Linux,23,1248,7488,28.1,55.6,78.5
GCP,Large,AP-South,Linux,4,1340,17420,83.3,53.2,83.5
GCP,Large,AP-South,Windows,12,681,3405,159.7,61.2,57.3
AWS,Micro,US-East,Ubuntu,3,145,725,48.0,48.3,51.0
Azure,Micro,EU-West,Linux,15,158,1264,41.3,50.1,71.2
AWS,Large,US-East,Linux,23,1193,13123,190.4,58.2,63.2
GCP,X-Large,US-East,Windows,15,1963,9815,45.9,56.1,47.0
AWS,Large,AP-South,Ubuntu,22,736,9568,55.9,37.8,37.7
Azure,Micro,AP-South,Linux,1,88,704,194.1,40.8,35.7
AWS,Micro,EU-West,Linux,16,77,539,148.3,33.7,38.3
Azure,X-Large,AP-South,Windows,19,4244,21220,141.4,73.2,85.7
AWS,Large,US-East,Ubuntu,23,1235,17290,171.3,53.6,72.0
AWS,Micro,AP-South,Linux,11,41,328,27.6,29.1,23.5
Azure,Micro,AP-South,Linux,17,137,1781,142.7,51.2,61.9
Azure,Large,AP-South,Ubuntu,2,291,4074,103.2,26.7,23.7
Azure,Large,AP-South,Windows,0,742,7420,166.7,63.5,54.1
AWS,X-Large,EU-West,Windows,0,1845,18450,104.1,53.6,45.1
AWS,X-Large,AP-South,Linux,18,4603,23015,125.9,57.6,75.5
AWS,X-Large,US-East,Linux,10,2681,37534,98.2,45.3,43.6
GCP,Large,AP-South,Ubuntu,4,1188,7128,98.2,56.1,63.2
AWS,Large,EU-West,Windows,11,646,6460,154.8,54.0,48.0
Azure,X-Large,EU-West,Windows,2,1389,8334,127.6,48.3,38.2
Azure,Micro,EU-West,Ubuntu,0,169,1183,128.5,52.1,72.8
Azure,Micro,US-East,Linux,0,102,816,92.8,40.8,50.5
AWS,Large,US-East,Linux,7,242,2178,108.6,24.7,12.0
Azure,Micro,AP-South,Ubuntu,9,139,1807,150.4,51.7,64.1
Azure,Large,US-East,Linux,10,1283,10264,166.1,51.1,73.2
GCP,X-Large,US-East,Linux,11,3710,48230,140.8,51.8,69.6
GCP,Large,AP-South,Linux,12,666,9324,185.2,38.6,47.1
Azure,Large,US-East,Ubuntu,11,486,3402,165.0,34.5,28.3
GCP,Large,AP-South,Windows,13,1210,14520,114.6,70.5,81.2
GCP,Micro,AP-South,Windows,1,14,70,135.9,42.2,21.6
Azure,Large,US-East,Windows,18,977,12701,185.6,67.5,70.8
AWS,Micro,US-East,Windows,17,98,1274,125.7,56.1,48.9
AWS,X-Large,AP-South,Ubuntu,2,1641,22974,165.8,33.2,30.8
Azure,X-Large,US-East,Windows,22,3429,20574,139.3,69.0,73.7
AWS,Micro,AP-South,Ubuntu,16,20,160,112.6,22.6,20.3
GCP,Large,US-East,Windows,7,889,10668,52.2,60.8,59.8
Azure,X-Large,EU-West,Linux,9,2276,25036,88.1,38.3,45.2
AWS,Large,US-East,Ubuntu,1,1279,6395,193.7,54.7,63.9
AWS,Micro,EU-West,Ubuntu,18,92,828,133.3,38.0,43.1
GCP,Large,US-East,Linux,8,1322,14542,115.1,51.6,77.0
Azure,X-Large,AP-South,Ubuntu,6,1148,9184,186.9,30.3,31.6
Azure,Large,EU-West,Ubuntu,3,1379,6895,119.4,56.8,69.7
GCP,X-Large,EU-West,Windows,20,1189,15457,107.6,46.2,36.1
Azure,Large,AP-South,Ubuntu,17,1082,9738,153.1,53.9,65.4
Azure,X-Large,EU-West,Ubuntu,12,3310,19860,144.0,47.8,54.7
GCP,X-Large,US-East,Ubuntu,10,4151,49812,42.7,56.1,72.5
GCP,X-Large,AP-South,Ubuntu,23,1399,8394,96.9,28.0,26.8
AWS,Micro,EU-West,Windows,3,106,742,97.1,58.2,61.9
Azure,Micro,US-East,Ubuntu,20,13,182,78.8,24.3,19.2
GCP,Micro,EU-West,Ubuntu,3,13,65,105.9,25.9,7.2
AWS,Large,AP-South,Ubuntu,9,984,5904,85.6,45.6,57.4
Azure,Large,US-East,Ubuntu,4,300,3300,43.9,22.4,17.6
AWS,Large,US-East,Windows,8,1019,14266,85.4,62.3,72.4
GCP,X-Large,US-East,Windows,23,4292,25752,19.1,75.6,79.7
Azure,Large,AP-South,Windows,2,1019,10190,117.3,67.6,66.8
AWS,Micro,US-East,Ubuntu,16,173,1211,171.5,53.6,68.1
GCP,Micro,US-East,Linux,2,133,1064,146.4,43.7,59.0
GCP,X-Large,AP-South,Linux,15,1421,17052,75.3,29.5,36.2
GCP,X-Large,EU-West,Windows,3,4302,30114,22.0,73.9,90.7
GCP,Large,EU-West,Windows,17,1286,18004,44.4,70.9,75.7
GCP,X-Large,EU-West,Windows,16,2508,25080,111.4,63.2,56.0
GCP,Micro,EU-West,Windows,6,125,625,45.4,65.4,73.8
GCP,Micro,EU-West,Windows,23,71,781,111.1,55.0,37.5
AWS,Micro,AP-South,Linux,22,16,192,50.2,24.4,7.3
Azure,Micro,EU-West,Windows,4,164,1968,170.5,66.5,75.9
Azure,X-Large,AP-South,Linux,11,3139,21973,82.5,44.4,61.8
AWS,Large,AP-South,Linux,16,1181,16534,52.9,54.5,68.2
GCP,Large,US-East,Ubuntu,22,654,3270,163.4,39.6,49.3
Azure,X-Large,US-East,Linux,12,2764,35932,71.9,43.5,49.7
GCP,Large,US-East,Windows,22,797,7970,26.7,61.4,56.0
Azure,Micro,AP-South,Windows,2,142,1846,116.2,66.0,72.5
GCP,X-Large,EU-West,Windows,8,1509,16599,118.4,53.2,39.2
AWS,X-Large,EU-West,Ubuntu,16,2206,11030,144.4,39.0,42.9
GCP,Micro,AP-South,Linux,16,139,695,51.8,51.5,53.9
Azure,Large,US-East,Ubuntu,19,604,6040,91.5,35.8,42.9
GCP,X-Large,US-East,Windows,15,3293,29637,60.1,65.7,70.0
Azure,Large,AP-South,Windows,21,941,12233,20.8,62.7,68.9
GCP,Micro,US-East,Windows,12,88,528,175.9,59.7,56.9
Azure,Large,AP-South,Linux,18,860,10320,147.1,42.6,54.5
Azure,X-Large,US-East,Windows,16,3697,33273,63.8,72.2,67.1
Azure,X-Large,AP-South,Windows,3,4542,27252,121.9,79.0,80.8
GCP,Large,EU-West,Ubuntu,11,1100,15400,44.2,44.6,59.8
Azure,X-Large,EU-West,Linux,8,3112,31120,178.6,48.4,54.8
GCP,Large,EU-West,Linux,18,1236,17304,27.4,57.8,66.1
AWS,X-Large,AP-South,Ubuntu,11,3260,39120,5.7,46.6,60.4
AWS,X-Large,US-East,Windows,8,3009,24072,102.9,63.0,61.0
Azure,X-Large,US-East,Linux,6,1241,7446,118.7,32.5,27.0
GCP,Large,US-East,Windows,13,692,6228,117.9,56.0,48.9
Azure,X-Large,US-East,Ubuntu,19,4284,25704,15.6,58.5,72.5
GCP,X-Large,US-East,Windows,18,4764,28584,66.2,81.5,85.1
GCP,Large,EU-West,Windows,14,537,5370,102.3,49.4,43.9
AWS,Large,AP-South,Linux,15,372,5208,47.2,31.7,22.5
GCP,Micro,US-East,Linux,20,169,2197,175.2,49.8,81.6
GCP,Large,AP-South,Ubuntu,4,363,2904,22.0,25.8,10.3
Azure,Large,US-East,Ubuntu,2,664,6640,100.0,32.3,46.1
Azure,X-Large,AP-South,Ubuntu,11,4042,44462,139.8,56.0,77.2
GCP,Micro,AP-South,Windows,19,197,1970,56.0,77.5,94.8
AWS,Large,AP-South,Windows,20,594,7128,126.7,57.7,47.0
Azure,X-Large,AP-South,Linux,3,1702,13616,166.7,38.8,34.5
Azure,Large,EU-West,Windows,20,507,2535,42.1,49.6,40.7
AWS,X-Large,AP-South,Linux,22,2791,30701,183.9,37.3,42.3
Azure,X-Large,US-East,Windows,15,1182,8274,112.9,48.8,34.9
GCP,X-Large,EU-West,Ubuntu,6,1628,16280,63.4,31.4,31.2
GCP,Micro,EU-West,Linux,12,35,210,89.0,28.8,13.4
GCP,X-Large,AP-South,Ubuntu,20,3557,46241,65.9,46.1,49.6
Azure,Large,US-East,Ubuntu,9,745,3725,146.4,37.2,48.7
Azure,Large,AP-South,Ubuntu,6,823,8230,160.3,39.5,50.9
Azure,X-Large,AP-South,Ubuntu,13,4835,48350,167.4,60.4,80.1
Azure,X-Large,AP-South,Windows,4,1593,14337,197.2,55.0,34.1
GCP,X-Large,US-East,Windows,2,1743,15687,159.3,57.7,43.1
AWS,Micro,AP-South,Ubuntu,22,189,945,122.3,54.6,81.6
GCP,X-Large,US-East,Ubuntu,10,2948,41272,71.1,40.6,60.8
Azure,Micro,AP-South,Ubuntu,10,175,1575,111.2,57.9,73.9
GCP,X-Large,AP-South,Windows,17,3601,21606,13.0,73.1,63.2
AWS,Large,AP-South,Windows,14,220,2420,150.2,44.5,21.0
GCP,Micro,AP-South,Linux,11,51,357,92.0,30.1,26.8
AWS,X-Large,US-East,Linux,8,3444,27552,8.9,42.7,64.0
Azure,X-Large,AP-South,Linux,9,3672,25704,17.2,51.8,67.4
GCP,X-Large,EU-West,Linux,11,1104,7728,80.6,24.1,27.8
GCP,X-Large,US-East,Windows,16,3239,25912,118.8,64.9,59.5
GCP,Large,US-East,Linux,5,216,1944,95.5,20.3,9.7
GCP,Micro,EU-West,Ubuntu,6,129,645,125.7,46.5,54.7
Azure,X-Large,EU-West,Windows,13,1392,11136,98.7,52.8,51.3
AWS,Micro,US-East,Ubuntu,12,178,2136,134.0,55.5,85.0
AWS,Micro,US-East,Windows,7,138,1932,47.7,67.2,73.0
GCP,X-Large,EU-West,Windows,9,4201,46211,27.0,71.6,95.6
Azure,X-Large,AP-South,Ubuntu,8,1571,20423,121.3,35.0,27.4
AWS,Micro,EU-West,Ubuntu,17,57,513,99.5,30.1,28.8
AWS,Micro,AP-South,Windows,1,38,532,10.2,47.5,35.0
AWS,Micro,EU-West,Linux,4,106,848,79.2,41.9,47.2
AWS,Large,US-East,Windows,4,1233,14796,25.7,68.1,72.1
AWS,Large,EU-West,Linux,5,441,5733,108.6,29.7,34.0
AWS,Large,US-East,Linux,18,431,4741,82.2,36.3,27.3
Azure,Micro,AP-South,Linux,7,30,330,124.6,25.4,16.6
GCP,Large,EU-West,Ubuntu,15,914,8226,162.1,42.6,58.2
AWS,X-Large,AP-South,Linux,12,1758,14064,63.4,36.7,39.1
Azure,Micro,EU-West,Linux,0,43,602,192.6,26.5,31.4
Azure,Large,EU-West,Linux,21,975,4875,109.4,47.7,63.8
GCP,X-Large,AP-South,Windows,19,3773,52822,125.6,62.4,68.7
GCP,X-Large,EU-West,Windows,16,3247,45458,137.7,66.9,63.0
AWS,Large,US-East,Linux,6,1144,12584,135.0,50.3,68.2
GCP,X-Large,AP-South,Ubuntu,12,1078,5390,104.6,28.2,22.0
GCP,X-Large,AP-South,Windows,3,4984,24920,88.6,75.6,99.9
Azure,Micro,US-East,Ubuntu,3,197,1773,15.5,56.9,85.1
Azure,X-Large,AP-South,Linux,5,4926,64038,9.3,62.9,79.3
Azure,Micro,EU-West,Linux,18,97,970,74.8,39.0,38.9
AWS,X-Large,US-East,Linux,11,4244,29708,70.1,56.5,82.7
AWS,Micro,EU-West,Linux,21,78,546,80.6,34.5,33.9
GCP,X-Large,EU-West,Linux,6,2439,26829,32.0,43.4,37.9
GCP,Large,EU-West,Windows,9,1139,11390,148.9,72.4,80.8
AWS,X-Large,EU-West,Linux,18,3496,45448,172.1,45.6,64.9
AWS,Large,EU-West,Windows,6,286,2860,188.0,49.3,22.5
Azure,X-Large,EU-West,Windows,2,3148,28332,101.0,70.0,69.8
AWS,Large,US-East,Windows,12,1231,17234,141.7,71.8,79.6
AWS,Large,US-East,Windows,12,1044,11484,171.8,69.9,69.5
GCP,Micro,AP-South,Windows,17,96,480,86.6,59.0,52.0
GCP,Large,US-East,Windows,19,242,2662,65.3,44.6,32.1
Azure,X-Large,US-East,Ubuntu,7,4456,31192,187.7,57.5,83.3
AWS,Large,US-East,Linux,8,607,7891,105.6,34.6,28.1
GCP,X-Large,US-East,Windows,6,4554,45540,102.0,75.8,77.7
AWS,Large,US-East,Linux,0,863,11219,39.8,45.5,48.5
AWS,X-Large,US-East,Linux,2,4088,36792,26.1,53.9,66.0
Azure,X-Large,AP-South,Linux,12,2668,29348,169.2,42.1,50.5
AWS,X-Large,US-East,Windows,16,1147,9176,124.8,55.4,39.1
Azure,X-Large,EU-West,Windows,23,3324,36564,68.5,67.8,68.7
GCP,X-Large,AP-South,Linux,0,1231,6155,42.4,26.8,20.3
GCP,Large,US-East,Ubuntu,5,565,6215,113.3,37.8,40.3
GCP,X-Large,EU-West,Windows,20,4299,51588,118.9,70.5,78.6
GCP,Large,US-East,Linux,5,635,5715,45.4,36.5,35.6
Azure,Micro,EU-West,Linux,11,152,912,171.0,50.9,63.8
Azure,Micro,AP-South,Windows,12,144,1296,21.4,70.2,77.2
GCP,Large,AP-South,Windows,12,698,6980,74.4,51.3,54.9
GCP,X-Large,EU-West,Linux,14,3587,21522,137.7,46.3,54.3
GCP,Large,US-East,Linux,20,762,7620,58.5,42.8,42.5
Azure,Micro,US-East,Ubuntu,15,195,1950,166.4,61.0,78.6
GCP,Large,AP-South,Linux,21,1484,7420,149.3,56.0,80.2
Azure,Large,EU-West,Windows,20,972,4860,158.9,72.7,61.1
AWS,X-Large,AP-South,Windows,10,3397,47558,28.2,69.2,65.3
GCP,Micro,EU-West,Linux,4,105,735,32.4,45.3,39.2
Azure,X-Large,AP-South,Ubuntu,3,3567,49938,60.9,49.4,63.8
Azure,X-Large,AP-South,Linux,2,2343,32802,106.0,40.3,44.6
Azure,Large,EU-West,Linux,18,337,2359,150.9,27.2,27.0
AWS,Large,AP-South,Windows,19,1191,9528,168.1,71.9,75.2
GCP,Large,US-East,Ubuntu,17,567,3402,142.3,34.9,38.7
Azure,Large,EU-West,Linux,14,1443,18759,186.1,60.3,85.8
GCP,X-Large,EU-West,Ubuntu,8,4408,61712,149.1,50.0,74.4
Azure,X-Large,EU-West,Ubuntu,16,2246,24706,64.7,43.2,38.4
GCP,Large,EU-West,Linux,13,559,6149,56.7,33.0,36.5
AWS,Large,AP-South,Windows,14,1120,11200,140.8,71.9,76.0
Azure,Micro,US-East,Windows,0,82,574,42.6,60.1,44.6
Azure,X-Large,AP-South,Ubuntu,20,4009,40090,23.1,48.8,71.6
AWS,X-Large,US-East,Windows,21,3510,42120,108.8,66.9,75.4
GCP,X-Large,US-East,Windows,21,3993,47916,165.2,68.9,78.0
Azure,Large,EU-West,Linux,2,1162,15106,24.8,50.5,70.1
AWS,Large,EU-West,Ubuntu,15,1035,5175,159.4,45.9,63.6
Azure,Large,EU-West,Ubuntu,22,368,1840,163.3,27.6,21.3
Azure,Micro,US-East,Linux,10,131,917,99.0,44.2,59.4
Azure,Large,US-East,Ubuntu,11,318,2226,16.2,26.9,20.9
GCP,Micro,EU-West,Ubuntu,9,199,2786,39.0,54.6,86.8
AWS,Large,US-East,Ubuntu,15,966,11592,142.9,51.0,57.8
AWS,X-Large,AP-South,Linux,7,1369,19166,143.8,29.1,33.1
AWS,Micro,EU-West,Windows,5,19,95,180.2,44.7,25.1
AWS,Large,AP-South,Windows,11,348,2088,118.6,41.7,40.9
Azure,Large,AP-South,Ubuntu,23,851,5106,29.2,41.9,56.0
GCP,X-Large,AP-South,Windows,20,2882,20174,28.7,60.7,57.4
AWS,Large,AP-South,Linux,7,969,9690,145.6,44.0,50.2
GCP,X-Large,EU-West,Windows,3,3421,17105,40.8,67.9,64.3
AWS,Large,AP-South,Linux,7,980,5880,69.0,45.4,60.2
AWS,Micro,EU-West,Ubuntu,17,190,950,100.0,56.4,88.5
Azure,Micro,EU-West,Linux,4,169,1521,9.8,52.4,71.1
Azure,X-Large,AP-South,Linux,8,3398,37378,53.5,49.3,62.4
Azure,Large,US-East,Linux,3,1091,13092,84.5,48.7,65.7
GCP,X-Large,US-East,Ubuntu,21,2249,31486,59.5,37.0,34.3
Azure,X-Large,AP-South,Windows,16,1522,7610,31.6,55.2,46.7
Azure,Large,AP-South,Windows,8,721,7931,147.0,58.1,54.9
AWS,Micro,US-East,Linux,0,24,216,163.6,23.7,14.5
AWS,Micro,EU-West,Linux,20,26,364,55.2,22.7,21.4
Azure,X-Large,EU-West,Windows,19,1935,9675,156.0,53.9,50.6
Azure,X-Large,EU-West,Ubuntu,12,4473,31311,80.2,57.1,83.2
GCP,X-Large,EU-West,Linux,15,3230,35530,103.8,44.9,52.9
GCP,Micro,AP-South,Windows,12,162,2268,171.9,70.9,83.4
AWS,Micro,US-East,Linux,13,68,340,151.2,32.1,32.3
GCP,Micro,AP-South,Linux,2,87,957,162.0,43.2,48.6
Azure,X-Large,AP-South,Linux,5,3171,28539,31.7,45.0,63.1
Azure,X-Large,EU-West,Ubuntu,17,4032,20160,18.6,49.9,67.5
AWS,Micro,US-East,Ubuntu,18,123,615,179.2,47.4,61.9
Azure,X-Large,US-East,Windows,4,3837,19185,80.6,69.9,81.3
Azure,Micro,EU-West,Ubuntu,14,167,2171,61.1,48.8,63.0
Azure,Micro,AP-South,Ubuntu,1,181,1267,146.3,54.6,77.7
Azure,Micro,AP-South,Linux,9,41,369,168.1,29.2,18.2
GCP,Large,AP-South,Windows,23,885,12390,173.2,61.5,67.3
GCP,Large,US-East,Linux,17,312,4056,66.6,26.3,15.1
GCP,X-Large,AP-South,Linux,12,3935,39350,171.2,53.3,62.7
GCP,Large,AP-South,Linux,4,321,4173,13.0,34.2,22.1
GCP,Micro,AP-South,Windows,22,41,492,14.7,53.6,35.1
AWS,X-Large,AP-South,Linux,23,2245,26940,126.6,28.2,33.9
Azure,Micro,AP-South,Ubuntu,0,128,640,17.3,46.0,57.4
AWS,Micro,EU-West,Ubuntu,21,48,624,68.3,29.9,23.6
Azure,X-Large,EU-West,Windows,0,3544,35440,136.2,70.0,66.1
Azure,Micro,US-East,Ubuntu,17,21,273,70.8,20.6,17.1
Azure,Large,US-East,Linux,14,1456,10192,40.0,58.0,80.9
AWS,X-Large,US-East,Linux,16,3990,27930,59.9,48.4,65.5
Azure,Large,AP-South,Windows,10,348,3480,94.2,50.1,33.6
Azure,Large,EU-West,Ubuntu,20,1221,15873,97.7,49.3,67.1
GCP,X-Large,AP-South,Linux,21,3708,40788,157.7,47.4,66.4
GCP,Micro,AP-South,Ubuntu,16,135,945,151.3,45.7,57.5
Azure,Large,AP-South,Ubuntu,12,501,3507,94.1,31.2,37.9
GCP,Large,EU-West,Linux,0,437,2622,169.9,33.9,36.9
AWS,Large,AP-South,Linux,1,846,10998,27.3,44.6,59.2
Azure,X-Large,EU-West,Windows,8,1662,11634,54.8,50.5,40.5
AWS,Micro,EU-West,Linux,2,95,855,166.5,43.5,41.2
GCP,Micro,US-East,Windows,0,159,2067,78.7,73.8,78.4
GCP,X-Large,US-East,Ubuntu,20,1234,14808,196.3,30.6,25.8
AWS,X-Large,AP-South,Ubuntu,15,2368,14208,95.9,40.4,44.3
Azure,Micro,US-East,Windows,22,31,217,159.4,45.4,23.3
GCP,X-Large,AP-South,Windows,5,3907,23442,83.4,71.7,79.1
GCP,X-Large,EU-West,Ubuntu,16,4868,58416,87.9,60.2,80.6
